Titre_poste,Lieu,Type_contrat,Date_publication,secteur,competences,Type_contrat_regroupe
Superviseur/Responsable d’équipe en télévente expérimenté,"Mermoz, Dakar",CDI,,CentreDAppels,Non spécifié,CDI
Téléconseillers expérimentés,"Mermoz, Dakar",CDD,,CentreDAppels,Non spécifié,CDD
Télésconseillers,"Dakar, Sénégal",Stage,,CentreDAppels,Non spécifié,Stage
Responsable du Centre National de Microscopie Électronique de la Cité du Savoir,"Dakar, Sénégal",CDD,,Management-GestionProjet,Non spécifié,CDD
(02) Chargé(e)s de Relation Client,"Dakar, Sénégal",CDD,,Management-GestionProjet,Non spécifié,CDD
Chargé.e. de projet « RISE & PLAY »,"Dakar, Sénégal",CDD,,Management-GestionProjet,Non spécifié,CDD
Senior Analyst,"Dakar, Sénégal",CDD,,Management-GestionProjet,"Analyse de données, rédaction de rapports, évaluation",CDD
Chargé·e de projet – Protection des lanceurs d’alerte et lutte contre les flux financiers illicites,"Dakar, Sénégal",CDD,,Management-GestionProjet,Non spécifié,CDD
Project Officer,"Dakar, Sénégal",CDD,,Management-GestionProjet,Non spécifié,CDD
Responsable Agence,"Dakar, Sénégal",CDD,,Management-GestionProjet,Non spécifié,CDD
HR Analyst,"Dakar, Sénégal",CDD,,Management-GestionProjet,"Analyse de données, rédaction de rapports, évaluation",CDD
Regional Advisor,"Dakar, Sénégal",CDD,,Management-GestionProjet,Non spécifié,CDD
Facility & Sustainability Coordinator,"Dakar, Sénégal",CDD,,Management-GestionProjet,Non spécifié,CDD
Spécialiste Technique Régional Réadaptation – Région Sahel Afrique de l’Ouest,"Dakar, Sénégal",CDD,,Management-GestionProjet,Non spécifié,CDD
Chargé de projet,"Dakar, Sénégal",CDD,,Management-GestionProjet,Non spécifié,CDD
Provider Relations Associate,"Dakar, Sénégal",CDI/CDD,,Management-GestionProjet,Non spécifié,CDI/CDD
Customer Service Officer,"Dakar, Sénégal",CDD,,Management-GestionProjet,Non spécifié,CDD
Standardiste expérimenté(e) chargé(e) de la clientèle,"LIberté 6 Extension, VDN, Dakar, Sénégal",CDD,,Management-GestionProjet,"Accueil physique, gestion d’appels, communication",CDD
Chargé(e) de projet Web,"Dakar, Sénégal",CDD,,Management-GestionProjet,Non spécifié,CDD
Chargé de projet Web – Agence Digitale / Dakar,"Point E, Dakar",CDD,,Management-GestionProjet,Non spécifié,CDD
Directeur de l’Influence et de la Communication,"Dakar, Sénégal",CDI/CDD,,Marketing-Communication,Non spécifié,CDI/CDD
Chargé de la Communication du Marketing numérique et de la Conception,"Dakar, Sénégal",CDD,,Marketing-Communication,Non spécifié,CDD
Collaborateurs en Télétravail,Sénégal,Freelance/Prestation,,Marketing-Communication,Non spécifié,Freelance/Prestation
Responsable Marketing & communication,"Dakar, Sénégal",CDI/CDD,,Marketing-Communication,Non spécifié,CDI/CDD
Créateur de contenu & Live pour les réseaux sociaux,Dakar,CDD,,Marketing-Communication,Non spécifié,CDD
Business Developer,"Dakar, Sénégal",CDD,,Marketing-Communication,Non spécifié,CDD
Senior Growth Marketing Associate,"Dakar, Sénégal",CDI/CDD,,Marketing-Communication,Non spécifié,CDI/CDD
Senior Direct Marketing Associate,"Dakar, Sénégal",CDI/CDD,,Marketing-Communication,Non spécifié,CDI/CDD
Location de Matériel de Tournage Audiovisuel Professionnel Projet de Documentaire Régional – FAWE WASRO,Sacre coeur 3 VDN villa No 177,Prestation de Services,,Marketing-Communication,Non spécifié,Prestation de Services
Sales Associate,"Dakar, Sénégal",CDI/CDD,,Marketing-Communication,Non spécifié,CDI/CDD
Chargé de communication bilingue,"Dakar, Sénégal",CDD,,Marketing-Communication,Non spécifié,CDD
Community manager,"Point E, Dakar",Stage,,Marketing-Communication,"Réseaux sociaux, création de contenu, Canva, stratégie",Stage
Responsable marketing Groupe,"Dakar, Sénégal",CDI/CDD,,Marketing-Communication,Non spécifié,CDI/CDD
Standardiste expérimenté(e) chargé(e) de la clientèle,"LIberté 6 Extension, VDN, Dakar, Sénégal",CDD,,Marketing-Communication,"Accueil physique, gestion d’appels, communication",CDD
Chargé(e) de projet Web,"Dakar, Sénégal",CDD,,Marketing-Communication,Non spécifié,CDD
Digital Manager,"Dakar, Sénégal",CDD,,Marketing-Communication,Non spécifié,CDD
Chef de pub,"Dakar, Sénégal",CDD,,Marketing-Communication,Non spécifié,CDD
Directeur Commercial et Marketing,"Dakar, Sénégal",CDD,,Marketing-Communication,Non spécifié,CDD
Collaborateurs en télétravail,Sénégal,Prestation de Services,,Marketing-Communication,Non spécifié,Prestation de Services
Vox Agency – Recrutement Stagiaires Photographes & Vidéastes,Ngor Virage Route de l'Aéroport Immeuble Tall 55,Stage,,Marketing-Communication,"Apprentissage, soutien administratif, communication",Stage
Responsable Commercialisation & Gestion Immobilière,"Dakar, Thiès, Kaolack, Sénégal",CDI/CDD,,Marketing-Communication,Non spécifié,CDI/CDD
Formateur(trice) en Community Management,Sénégal,CDD/Freelance,,Marketing-Communication,Non spécifié,CDD/Freelance
Collaborateurs en télétravail,"Dakar, Sénégal",Prestation de Services,,Marketing-Communication,Non spécifié,Prestation de Services
Assistant Traffic Manager,"Dakar, Sénégal",CDD,,Marketing-Communication,"Organisation, rédaction, bureautique, planification",CDD
Stagiaire Monteur Vidéo & Social Media Manager,"Dakar, Sénégal",Stage,,Marketing-Communication,"Apprentissage, soutien administratif, communication",Stage
Directeur de l’Influence et de la Communication,"Dakar, Sénégal",CDI/CDD,,ONGetAmbassades,Non spécifié,CDI/CDD
Chargé.e. de projet « RISE & PLAY »,"Dakar, Sénégal",CDD,,ONGetAmbassades,Non spécifié,CDD
Regional People and Culture Director,"Dakar, Sénégal",CDD,,ONGetAmbassades,Non spécifié,CDD
Consultants Conseiller en Développement Commercial et Renforcement des Capacités,"Dakar, Sénégal",CDD,,ONGetAmbassades,Non spécifié,CDD
Spécialiste Technique Régional MHPSS,"Dakar, Sénégal",CDD,,ONGetAmbassades,Non spécifié,CDD
Specialist Private Sector Partnership Development,"Dakar, Sénégal",CDD,,ONGetAmbassades,Non spécifié,CDD
Partnership Coordinator,"Dakar, Sénégal",CDD,,ONGetAmbassades,Non spécifié,CDD
HR Analyst,"Dakar, Sénégal",CDD,,ONGetAmbassades,"Analyse de données, rédaction de rapports, évaluation",CDD
Spécialiste Technique Régional Réadaptation – Région Sahel Afrique de l’Ouest,"Dakar, Sénégal",CDD,,ONGetAmbassades,Non spécifié,CDD
MST Nursing,"Dakar, Sénégal",CDD,,ONGetAmbassades,Non spécifié,CDD
Consultant externe,"Dakar, Sénégal",CDD,,ONGetAmbassades,Non spécifié,CDD
"Supply Chain Management,  Senior Associate, Global Malaria (Commodity Access)","Dakar, Sénégal",CDD,,ONGetAmbassades,Non spécifié,CDD
Spécialiste Technique Régional Education Inclusive,"Dakar, Sénégal",CDD,,ONGetAmbassades,Non spécifié,CDD
Chargé.e régional.e de mentorat et coaching intersection pour l’Afrique de l’Ouest,"Dakar, Sénégal",CDD,,ONGetAmbassades,Non spécifié,CDD
Deputy Africa Director,"Dakar, Sénégal",CDD,,ONGetAmbassades,Non spécifié,CDD
Bénévole ou Stagiaire en Gestion de Projet,"Dakar, Sénégal",Stage,,ONGetAmbassades,"Apprentissage, soutien administratif, communication",Stage
Bénévole ou Stagiaire en Gestion de Projet pour la mission : « Sauver Abibou : un combat pour la Vie ! » Non rémunéré,"Dakar, Sénégal",Stage,,ONGetAmbassades,"Apprentissage, soutien administratif, communication",Stage
Regional People and Culture Director,"Dakar, Sénégal",CDD,,RessourcesHumaines,Non spécifié,CDD
HR Analyst,"Dakar, Sénégal",CDD,,RessourcesHumaines,"Analyse de données, rédaction de rapports, évaluation",CDD
DRH,"Dakar, Sénégal",CDI,,RessourcesHumaines,Non spécifié,CDI
HR Business Partner,"Dakar, Sénégal",CDD,,RessourcesHumaines,"Recrutement, formation, gestion du personnel",CDD
Assistant(e) de direction,Sénégal,Stage,,RessourcesHumaines,"Organisation, rédaction, bureautique, planification",Stage
Responsable administratif ressources humaines,"Dakar, Sénégal",CDD,,RessourcesHumaines,Non spécifié,CDD
Human Ressources Business Partner (HRBP),Sindia dans la région de Thiès,CDD,,RessourcesHumaines,"Recrutement, formation, gestion du personnel",CDD
Assistant(e) Ressources Humaines Intérimaire,"Dakar, Sénégal",CDD,,RessourcesHumaines,"Organisation, rédaction, bureautique, planification",CDD
Responsable RH,"Dakar, Sénégal",CDI/CDD,,RessourcesHumaines,Non spécifié,CDI/CDD
(03) Réceptionnistes,"Dakar, Sénégal",CDD,,Restauration-Hotellerie-Tourisme,"Accueil physique, gestion d’appels, communication",CDD
Serveur/se,"Rue De Kaolack, 267",CDI,,Restauration-Hotellerie-Tourisme,Non spécifié,CDI
Responsable Marketing & communication,"Dakar, Sénégal",CDI/CDD,,Restauration-Hotellerie-Tourisme,Non spécifié,CDI/CDD
Serveur,"Sacré cœur 3, Dakar, Sénégal",CDD,,Restauration-Hotellerie-Tourisme,Non spécifié,CDD
Cuisinier,"Sacré cœur 3, Dakar, Sénégal",CDD,,Restauration-Hotellerie-Tourisme,Non spécifié,CDD
Responsable blanchisserie,"Dakar, Sénégal",CDD,,Restauration-Hotellerie-Tourisme,Non spécifié,CDD
Jardinier,"Dakar, Sénégal",CDD,,Restauration-Hotellerie-Tourisme,Non spécifié,CDD
Guest Service-Driver,"Dakar, Sénégal",CDI/CDD,,Restauration-Hotellerie-Tourisme,"Conduite, service client, entretien véhicule",CDI/CDD
Gouvernante,"Dakar, Sénégal",Prestation de Services,,Restauration-Hotellerie-Tourisme,Non spécifié,Prestation de Services
Coach Bien-être / Yoga & Relaxation (Freelance),"Dakar, Sénégal",CDD/Freelance,,Restauration-Hotellerie-Tourisme,Non spécifié,CDD/Freelance
Cuisiniers à Domicile (Almadies & Mermoz),(Almadies & Mermoz),Prestation de Services,,Restauration-Hotellerie-Tourisme,Non spécifié,Prestation de Services
Médecin généraliste,"Dakar, Sénégal",CDD,,Sante&Social,Non spécifié,CDD
Médecin du travail,"Dakar, Sénégal",CDI/CDD,,Sante&Social,Non spécifié,CDI/CDD
MST Nursing,"Dakar, Sénégal",CDD,,Sante&Social,Non spécifié,CDD
