Titre_poste,Lieu,Type_contrat,Date_publication,secteur,competences,Type_contrat_regroupe
Développeur NODE.JS (H/F),Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDI/CDD/Freelance,2025-06-04,Informatique-Technologie,Développement Python,CDI/CDD/Freelance
Développeur OBJECTIVE-C (H/F),Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDI/CDD/Freelance,2025-06-04,Informatique-Technologie,Test logiciel,CDI/CDD/Freelance
Développeur PHP (H/F),Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDI/CDD/Freelance,2025-06-04,Informatique-Technologie,Développement React,CDI/CDD/Freelance
Développeur PYTHON (H/F),Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDI/CDD/Freelance,2025-06-04,Informatique-Technologie,Développement Ruby on Rails,CDI/CDD/Freelance
Testeur QA (H/F),Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDI/CDD/Freelance,2025-06-04,Non spécifié,Développement Swift,CDI/CDD/Freelance
Développeur REACT (H/F),Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDI/CDD/Freelance,2025-06-04,Informatique-Technologie,Administration système,CDI/CDD/Freelance
Développeur RUBY ON RAILS (H/F),Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDI/CDD/Freelance,2025-06-04,Informatique-Technologie,DevOps - Administration système,CDI/CDD/Freelance
Développeur SWIFT (H/F),Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDI/CDD/Freelance,2025-06-04,Informatique-Technologie,DevOps - Administration système,CDI/CDD/Freelance
Ingénieur Test et Validation (H/F),Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDI/CDD/Freelance,2025-06-04,Non spécifié,DevOps - Administration système,CDI/CDD/Freelance
Ingénieur Automatisation des Tests (H/F),Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDI/CDD/Freelance,2025-06-04,Non spécifié,DevOps - Administration système,CDI/CDD/Freelance
UX / UI Designer (H/F),Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDI/CDD/Freelance,2025-06-04,Non spécifié,Développement web - Design,CDI/CDD/Freelance
Architecte Cloud AWS (H/F),Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDI/CDD/Freelance,2025-06-04,Informatique-Technologie,DevOps - Administration système,CDI/CDD/Freelance
Architecte Solutions AWS (H/F),Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDI/CDD/Freelance,2025-06-04,Informatique-Technologie,Big Data - DevOps,CDI/CDD/Freelance
Architecte Solutions AZURE (H/F),Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDI/CDD/Freelance,2025-06-04,Informatique-Technologie,Cloud computing - Bases de données,CDI/CDD/Freelance
Architecte Cloud (H/F),Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDI/CDD/Freelance,2025-06-04,Informatique-Technologie,Développement cloud,CDI/CDD/Freelance
Ingénieur Cloud Computing et Virtualisation (H/F),Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDI/CDD/Freelance,2025-06-04,Non spécifié,Cloud computing - DevOps,CDI/CDD/Freelance
Ingénieur Cloud (H/F),Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDI/CDD/Freelance,2025-06-04,Non spécifié,Réseaux - Automatisation,CDI/CDD/Freelance
Architecte Microservices Cloud (H/F),Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDI/CDD/Freelance,2025-06-04,Informatique-Technologie,Cloud computing,CDI/CDD/Freelance
Administrateur Système Cloud (H/F),Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDI/CDD/Freelance,2025-06-04,Non spécifié,Systèmes - Réseaux,CDI/CDD/Freelance
Intégrateur Système Cloud (H/F),Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDI/CDD/Freelance,2025-06-04,Non spécifié,Méthodologie Agile,CDI/CDD/Freelance
Ingénieur Cybersécurité (H/F),Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDI/CDD/Freelance,2025-06-04,Informatique-Technologie,Développement - Virtualisation,CDI/CDD/Freelance
Architecte DATASTAGE (H/F),Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDI/CDD/Freelance,2025-06-04,Informatique-Technologie,Data Integration - Développement Java,CDI/CDD/Freelance
Architecte GENESYS (H/F),Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDI/CDD/Freelance,2025-06-04,Informatique-Technologie,Virtualisation - Scripting,CDI/CDD/Freelance
Architecte Réseau (H/F),Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDI/CDD/Freelance,2025-06-04,Informatique-Technologie,Réseaux informatiques,CDI/CDD/Freelance
Administrateur Base de Données IMS/DB2 Z/OS (H/F),Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDI/CDD/Freelance,2025-06-04,Non spécifié,Mainframe,CDI/CDD/Freelance
Ingénieur Système Z/OS Senior Stockage (H/F),Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDI/CDD/Freelance,2025-06-04,Non spécifié,Mainframe - Systèmes IBM,CDI/CDD/Freelance
Ingénieur Système Z/OS Middleware (H/F),Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDI/CDD/Freelance,2025-06-04,Non spécifié,Mainframe - Intégration,CDI/CDD/Freelance
Consultant SAP ABAP (H/F),Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDI/Freelance,2025-06-04,Non spécifié,Développement SAP,CDI/Freelance
Consultant SAP FI-CO/PS (H/F),Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDI/Freelance,2025-06-04,Non spécifié,SAP,CDI/Freelance
Consultant SAP EHS (H/F),Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDI/Freelance,2025-06-04,Non spécifié,Conformité - SAP,CDI/Freelance
Consultant SAP Senior (H/F),Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDI/Freelance,2025-06-04,Non spécifié,Développement SAP,CDI/Freelance
Consultant SAP MM/SD/EWM/PP/QM/CAR (H/F),Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDI/Freelance,2025-06-04,Non spécifié,SAP,CDI/Freelance
Lead Développeur Java JEE (H/F),Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDI/Freelance,2025-06-04,Informatique-Technologie,Développement Java EE,CDI/Freelance
Surveillant(e) du Service Alimentaire - Vancouver/Canada,International,CDI/CDD,2025-06-04,Non spécifié,Comptabilité - Finance - Formation,CDI/CDD
Commercial (Maîtrise de l’anglais requise) - Dakar,Dakar,CDD,2025-06-03,Non spécifié,Marketing - Vente,CDD
Responsable de l’Administration et des Finances - Tambacounda,Tambacounda,CDD,2025-06-03,Comptabilité-Finance,Comptabilité - Finance,CDD
Spécialiste Support Technique (H/F) - Mauritanie,International,CDI,2025-06-03,Informatique-Technologie,Microsoft,CDI
Chef de Projet Senior - Dakar,Dakar,CDD,2025-06-02,Non spécifié,Non applicable,CDD
Stagiaire Assistant(e) Comptable - Dakar,Dakar,Stage,2025-06-02,Support administratif,Comptabilité - RH,Stage
Gérant de Magasin - Québec,International,CDI,2025-06-02,Non spécifié,Finance - Vente,CDI
Technicien(ne) en Agriculture - Vancouver/Canada,International,CDI/CDD,2025-06-02,Non spécifié,Environnement - Maintenance industrielle,CDI/CDD
Data Scientist / Data Analyst - Dakar,Dakar,CDD,2025-06-02,Analyse / Statistiques,Business Intelligence,CDD
Ingénieur DevOps et Administrateur Système - Dakar,Dakar,CDD,2025-06-02,Non spécifié,Monitoring - Cloud computing,CDD
Spécialiste Cybersécurité - Dakar,Dakar,CDD,2025-06-02,Informatique-Technologie,Sécurité informatique,CDD
Optimiseur - Expatriation H/F - Nantes Sud,Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDI,2025-05-31,Non spécifié,Génie civil,CDI
Spécialiste de Contenu ou Administrateur de Données - Dakar,Dakar,CDI,2025-05-29,Non spécifié,Communication - Marketing,CDI
Chef Cuisinier - Dakar,Dakar,CDD/Stage,2025-05-28,Non spécifié,Tourisme,CDD/Stage
Spécialiste Infrastructure Réseau - Dakar,Dakar,CDI,2025-05-27,Non spécifié,Réseaux,CDI
Spécialiste Support IT – Fonctionnel - Dakar,Dakar,CDI,2025-05-27,Informatique-Technologie,Microsoft,CDI
Spécialiste Support IT – Technique - Dakar,Dakar,CDI,2025-05-27,Informatique-Technologie,Messagerie - Microsoft,CDI
Conseiller(ère) Commercial(e) - Saly,Thiès,CDD,2025-05-27,Non spécifié,CRM,CDD
Directeur de Travaux - Dakar,Dakar,CDD,2025-05-23,Non spécifié,Non applicable,CDD
Ingénieur OPC - Dakar,Dakar,CDD,2025-05-23,Non spécifié,CAO - BTP,CDD
Délégué Médical - Dakar,Dakar & Thiès,CDD,2025-05-23,Non spécifié,Communication - Santé,CDD
Conducteur de Travaux - Dakar,Dakar,CDD,2025-05-23,Non spécifié,CAO,CDD
Télévendeur H/F - Télétravail,International,CDI/Freelance,2025-05-22,Non spécifié,Vente,CDI/Freelance
Ingénieur Chef de Projet Spécialisé en Pivot - Saint-Louis,Dakar & Saint-Louis,CDI,2025-05-22,Non spécifié,Vente,CDI
Commercial Terrain - Dakar,Dakar,Stage,2025-05-21,Non spécifié,Marketing - Vente,Stage
Stagiaire en Qualité de Technicien de Surface - Dakar,Dakar,Stage,2025-05-21,Stage / Formation,Nettoyage,Stage
Webmaster - Marrakech,International,Stage,2025-05-21,Non spécifié,Marketing digital,Stage
Stagiaire Webmaster (H/F) - Marrakech,International,Stage,2025-05-21,Stage / Formation,Marketing - Communication - Vente,Stage
Stagiaire Technicien de Surface - Dakar,Dakar,CDD/Stage,2025-05-20,Stage / Formation,Nettoyage,CDD/Stage
Chauffeur-Partenaire - Dakar,Dakar & International,Freelance,2025-05-20,Non spécifié,Sécurité,Freelance
Responsable Communication et Bureau d'Ordre - Dakar,Dakar,CDI/CDD,2025-05-20,Marketing-Communication,Marketing digital - Communication,CDI/CDD
Chef de Service Core Network and IN - Conakry,International,CDI,2025-05-20,Non spécifié,Gestion IT - Réseaux,CDI
Responsable Administratif et Financier (H/F) - Dakar,Dakar,CDI,2025-05-20,Non spécifié,Comptabilité - Finance,CDI
Manager Call Center - Dakar,Dakar,CDI,2025-05-19,Non spécifié,CRM - Vente,CDI
Chauffeur H/F - Dakar,Dakar,Intérim,2025-05-19,Non spécifié,Transport,Intérim
Directeur d'Hôtel - Dakar,Dakar,CDI/CDD,2025-05-19,Non spécifié,Management - Stratégie,CDI/CDD
Stagiaire Community Manager - Dakar,Dakar,Stage,2025-05-19,Stage / Formation,Marketing - Communication,Stage
Stagiaire Comptable - Mbour,Thiès,Stage,2025-05-16,Stage / Formation,Comptabilité - Finance,Stage
Télévendeur Expérimenté en Assurance - Dakar,Dakar,Stage,2025-05-16,Non spécifié,Marketing - Vente,Stage
Superviseur des Ventes - Dakar,Dakar,CDD,2025-05-16,Non spécifié,Vente - Gestion commerciale,CDD
Sales Manager (H/F) – Distribution Alimentaire - Dakar,Dakar,CDI/CDD,2025-05-15,Non spécifié,Management commercial,CDI/CDD
Expert Odoo – Marketing Digital & CRM - Dakar,Dakar,CDI/Freelance,2025-05-15,Informatique-Technologie,Non applicable,CDI/Freelance
Électromécanicien - Diamniadio,Dakar,CDD/Stage,2025-05-15,Non spécifié,Agroalimentaire - Maintenance industrielle,CDD/Stage
Assistant de Direction - Dakar,Dakar,CDD,2025-05-15,Support administratif,Administration - RH,CDD
Chauffeur - Saraya,Dakar & Kédougou,CDI/CDD,2025-05-14,Non spécifié,Non applicable,CDI/CDD
Business Analyst - Dakar,Dakar,CDD/Freelance,2025-05-14,Analyse / Statistiques,Analyse commerciale,CDD/Freelance
Assistant(e) Marketing - Dakar,Dakar,CDD,2025-05-14,Support administratif,Marketing - Vente,CDD
Téléconseiller - Dakar,Dakar,CDI/CDD,2025-05-14,Non spécifié,Marketing - Vente,CDI/CDD
Médecin - Rabat,International,CDD,2025-05-14,Non spécifié,Biologie médicale,CDD
Développeur Full Stack - Full Remote,International,CDI/Freelance,2025-05-14,Informatique-Technologie,Développement web,CDI/Freelance
Business Developer - Dakar,Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDD,2025-05-14,Non spécifié,Stratégie commerciale,CDD
Serveur(euse) - Dakar,Dakar,CDI,2025-05-13,Non spécifié,Hôtellerie - Restauration,CDI
Représentant de l'Agence - Saint-Louis,Dakar - Kaffrine - Kaolack - Saint-Louis - Thiès & Ziguinchor,Freelance,2025-05-13,Non spécifié,Hôtellerie - Marketing,Freelance
Agent de Facturation - Dakar,Dakar,CDD,2025-05-13,Non spécifié,Comptabilité,CDD
Assistant(e) - Télétravail,International,Freelance,2025-05-12,Support administratif,Assistanat - Marketing,Freelance
Assistant(e) Marketing - Dakar,Dakar,Stage,2025-05-12,Support administratif,Marketing digital,Stage
Stagiaire Webmaster (H/F) - Marrakech,International,Stage,2025-05-12,Stage / Formation,SEO - Marketing,Stage
Agent(e) d'Entretien Ménager - Québec,International,CDI,2025-05-12,Non spécifié,Assistanat - Formation,CDI
Chargé d'Études Fluides Génie Climatique - Dakar,Dakar,CDD,2025-05-12,Non spécifié,Génie climatique,CDD
Collaborateur Santé - Québec,International,CDI,2025-05-09,Non spécifié,Santé,CDI
Médecin - Québec,International,CDI,2025-05-09,Non spécifié,Santé,CDI
Commercial - Dakar,Dakar & International,CDD,2025-05-09,Non spécifié,Stratégie commerciale,CDD
Superviseur Génie Civil - Kédougou,Dakar & Kédougou,CDD,2025-05-09,Non spécifié,BTP - Management,CDD
Superviseur QHSE Chantier de Construction - Kédougou,Kédougou & International,CDD,2025-05-09,Non spécifié,Construction - QHSE,CDD
Chef de Chantier - Kédougou,Dakar - Kédougou & International,CDD,2025-05-09,Non spécifié,BTP - Management,CDD
Stagiaire Assistant(e) Comptable - Dakar,Dakar,Stage,2025-05-08,Support administratif,Comptabilité - RH,Stage
Conseiller Commercial Expert en Assurances Santé H/F - Dakar,Dakar,CDI/CDD,2025-05-06,Non spécifié,Techniques commerciales,CDI/CDD
"Chef de Service Ingénierie, Construction et Maintenance Réseau Passif - Conakry",International,CDI,2025-05-06,Non spécifié,CAO - SIG,CDI
Directeur Télécoms et Réseaux - Conakry,International,CDI,2025-05-03,Non spécifié,Management IT,CDI
Agent Commercial - Dakar,Dakar,CDD/Stage,2025-05-02,Non spécifié,Marketing commercial,CDD/Stage
Conducteur(trice) de Tracteur Agricole - Vancouver/Canada,International,CDI/CDD,2025-05-02,Non spécifié,Gestion - Transport,CDI/CDD
Assistant(e) Gestion des Réseaux Sociaux et Création de Contenu - Sénégal,International,Stage,2025-05-02,Support administratif,Design - Marketing,Stage
Travailleur(euse) Affecté(e) à la Récolte - Vancouver/Canada,International,CDI/CDD,2025-05-02,Non spécifié,Management - Communication,CDI/CDD
Téléprospecteur Expert en Rénovation d'Envergure - Télétravail,Dakar - Saint-Louis - Thiès & Ziguinchor,CDD/Stage,2025-05-02,Non spécifié,Télémarketing,CDD/Stage
Rédacteur(trice) Web - Dakar,Dakar,CDI,2025-05-02,Non spécifié,Rédaction,CDI
Gestionnaire RH Expérimenté(e) - Dakar,Dakar,CDI,2025-05-02,Ressources Humaines,RH - Formation,CDI
Commercial(e) BtoB Spécialisé(e) en Externalisation des RH - Dakar,Dakar,CDI,2025-05-02,Ressources Humaines,Gestion administrative - RH,CDI
Représentant Commercial Terrain et Réseaux Sociaux - Dakar,Dakar,Freelance,2025-05-02,Non spécifié,Marketing - Vente,Freelance
Technicien en Maintenance Machine et Opérateur de Production - Rufisque,Dakar,CDD,2025-05-02,Non spécifié,Maintenance industrielle - Agroalimentaire,CDD
Stagiaire en Marketing Digital - Mermoz,Dakar,CDD,2025-05-02,Stage / Formation,Marketing digital,CDD
Agriculteur(trice) Expérimenté(e) - Vancouver/Canada,International,CDI/CDD,2025-05-02,Non spécifié,Agriculture - Qualité,CDI/CDD
Spécialiste UX/UI Design - Dakar,Dakar,CDD,2025-05-02,Non spécifié,Développement web,CDD
Spécialiste Front-End - Dakar,Dakar,CDD,2025-05-02,Non spécifié,Développement front-end,CDD
Spécialiste Back-End - Dakar,Dakar,CDD,2025-05-02,Non spécifié,Développement back-end - Cloud,CDD
"Stagiaire Assistant(e) Digital, Commercial et Opérations - Dakar",Dakar,Stage,2025-04-30,Support administratif,E-commerce - Marketing,Stage
Télévendeur - Thiès,Thiès,CDI/Stage,2025-04-30,Non spécifié,Vente,CDI/Stage
Responsable Logistique (Delivery Manager) - Dakar,Dakar,CDI,2025-04-29,Non spécifié,Logistique,CDI
Technicien Installateur - Dakar,Dakar,Stage,2025-04-29,Non spécifié,Non applicable,Stage
Magasinier - Dakar,Dakar,CDD/Stage,2025-04-29,Non spécifié,Transport,CDD/Stage
Stagiaire Community Manager - Dakar,Dakar & International,Stage,2025-04-28,Stage / Formation,Communication,Stage
Infirmier(ère) - Ottawa,International,CDI/CDD/Freelance,2025-04-28,Non spécifié,Santé,CDI/CDD/Freelance
Responsable Commercial (Secteur Touristique Hôtelier) - Dakar,Dakar,CDD,2025-04-26,Non spécifié,Stratégie commerciale,CDD
Télévendeur - Dakar,Dakar,CDI/Stage,2025-04-26,Non spécifié,Vente,CDI/Stage
Gestionnaire Fournisseurs - Télétravail,International,Freelance,2025-04-25,Non spécifié,Administration - Gestion,Freelance
Coordinateur du Projet PEAG - Conakry,International,CDD,2025-04-25,Non spécifié,BTP - Management,CDD
Expert International en Administration et Finances (Projet PEAG) - Conakry,International,CDD,2025-04-25,Comptabilité-Finance,Gestion financière,CDD
Expert International en Passation de Marchés PEAG (Systèmes-IDA) - Conakry,International,CDD,2025-04-25,Non spécifié,Gestion financière,CDD
Expert International en Passation de Marchés PEAG (Systèmes-BEI) - Conakry,International,CDD,2025-04-25,Non spécifié,Gestion financière,CDD
Responsable des Opérations (Projet PEAG) - Conakry,International,CDD,2025-04-25,Non spécifié,Gestion de projet,CDD
Spécialiste en Passation de Marchés (Projet PEAG) - Conakry,International,CDD,2025-04-25,Non spécifié,Gestion des achats,CDD
Spécialiste en Sauvegarde Environnementale (Projet PEAG) - Conakry,International,CDD,2025-04-25,Non spécifié,Management - Sécurité,CDD
Spécialiste en Sauvegarde Sociale (Projet PEAG) - Conakry,International,CDD,2025-04-25,Non spécifié,Gestion sociale - Environnement,CDD
Technicien en Installation de Lampadaires Solaires - Kaolack,Kaolack & Thiès,CDD,2025-04-24,Non spécifié,Énergie solaire - BTP,CDD
Responsable des Opérations Médiatiques et Diffusion (H/F) - Dakar,Dakar & Thiès,CDD,2025-04-24,Non spécifié,Communication - Médias,CDD
Opérateur de Gestion de Caisse - Sénégal,International,Alternance,2025-04-23,Non spécifié,Comptabilité,Alternance
Responsable Financier - Dakar,Dakar,CDD,2025-04-23,Non spécifié,Audit financier,CDD
Graphiste - Dakar,Dakar,CDI/CDD,2025-04-23,Non spécifié,Design,CDI/CDD
Responsable Logistique (Delivery Manager) - Dakar,Dakar,CDI,2025-04-23,Non spécifié,Logistique,CDI
Vendeuse - Diamniadio,Dakar,Freelance,2025-04-23,Non spécifié,Marketing commercial,Freelance
Assistante Commerciale - Dakar,Dakar,Stage,2025-04-22,Support administratif,Vente - Prospection,Stage
"Coordinateur(trice) de Chantier Agricole BTP (Génie Civil, Travaux Publics) - Dakar",Dakar,CDD,2025-04-22,Non spécifié,BTP,CDD
Commercial Terrain - Dakar,Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDD,2025-04-22,Non spécifié,Management commercial,CDD
Superviseur Commercial - Dakar,Dakar - Diourbel - Fatick - Kaffrine - Kaolack - Kédougou - Kolda,CDD,2025-04-22,Non spécifié,Management commercial,CDD
Agent Influenceur - Dakar,Dakar & International,CDI,2025-04-21,Non spécifié,RH - Formation,CDI
"Stagiaire Assistant(e) Digital, Commercial et Opérations - Dakar",Dakar,Stage/Alternance,2025-04-21,Support administratif,E-commerce,Stage/Alternance
Stagiaire Assistant(e) Coordinateur(trice) de Chantier Logistique - Dakar,Dakar,CDD,2025-04-18,Support administratif,BTP,CDD
"Technicien(ne) en Impression Digitale Polyvalent(e) (Vinyle, Sérigraphie...) - Dakar",Dakar,Intérim,2025-04-18,Informatique-Technologie,Maintenance industrielle,Intérim
Chargé(e) de Marketing Social et Graphiste - Dakar,Dakar,CDI/Freelance,2025-04-18,Marketing-Communication,Communication marketing,CDI/Freelance
Social Media Manager / Planificateur(trice) de Réseaux Sociaux - Télétravail,International,CDD/Freelance,2025-04-18,Non spécifié,Communication,CDD/Freelance
Business Analyst - Londres,International,CDI,2025-04-18,Analyse / Statistiques,Assistanat,CDI
Stagiaire en Développement Web - Lomé,Dakar & International,Stage,2025-04-17,Stage / Formation,Développement web,Stage
Cuisinier Polyvalent Professionnel - Bambilor,Dakar,CDI,2025-04-17,Non spécifié,Tourisme,CDI
"Digital Content Manager - Keur Massar, Dakar",Dakar,CDD/Stage,2025-04-16,Informatique-Technologie,Marketing digital,CDD/Stage
Téléprospecteur B2B - Petit Mbao,Dakar,CDD,2025-04-15,Informatique-Technologie,Non applicable,CDD
Électricien - Bucarest,International,CDI,2025-04-15,Non spécifié,BTP,CDI
Serrurier Mécanique - Bucarest,International,CDI,2025-04-15,Non spécifié,BTP,CDI
Plombier - Bucarest,International,CDI,2025-04-15,Non spécifié,BTP,CDI
"Soudeur MIG MAG - Bucarest, Roumanie",International,CDI/Intérim,2025-04-15,Non spécifié,BTP,CDI/Intérim
Assistant Qualité - Dakar,Dakar,CDD,2025-04-14,Support administratif,RH,CDD
"Chargé(e) des Ressources Humaines - Ouakam, Dakar",Dakar,CDI/CDD,2025-04-14,Ressources Humaines,RH,CDI/CDD
"Cuisinière - Zac Mbao, Dakar",Dakar,Freelance,2025-04-14,Non spécifié,Non applicable,Freelance
Chargé(e) d'Infrastructure et Sécurité IT (H/F) - Freelance ou CDI - Dakar,Dakar,CDI/CDD/Freelance,2025-04-14,Informatique-Technologie,Administration système,CDI/CDD/Freelance
Responsable Pilotage et Animation du Réseau de Distribution H/F - Dakar,Dakar,CDI,2025-04-14,Non spécifié,Stratégie commerciale,CDI
Designer - Sacré Cœur 2 (Cité Keur Gorgui),Dakar,CDI,2025-04-14,Informatique-Technologie,UI/UX Design,CDI
Commercial Sédentaire - Dakar,Dakar,CDI,2025-04-14,Non spécifié,Vente,CDI
Assistante Administrative et Comptable - Dakar,Dakar,CDI,2025-04-14,Support administratif,Administration - Gestion,CDI
"Chargé.e d’évaluation Senior pour le Sénégal, basé.e à Dakar",Dakar,CDI,,Non spécifié,Évaluation - Gestion de projet,CDI
"Responsable de Recherche (Associé.e) pour le Sénégal, basé.e à Dakar",Dakar,CDI,,Non spécifié,Recherche - Analyse,CDI
Evidence to Advocacy Specialist: Conflict and Crisis-Affected Settings,Dakar,CDI,2025-04-15,Plaidoyer / Droits humains,Plaidoyer - Gestion de crise,CDI
RDH DTM Reporting Intern,Dakar,CDI,2025-04-14,Humanitaire / Analyse de données,Reporting - Gestion de l'information,CDI
RDH Information Management Intern: Overview,Dakar,CDI,2025-04-14,Humanitaire / Analyse de données,Gestion de l'information - Analyse,CDI
Chargé.e. de projet « RISE & PLAY » Sénégal,Dakar,CDI,2025-04-13,Non spécifié,Gestion de projet - Développement,CDI
CHARGÉ.E DE PROJET – PROTECTION DES LANCEURS D’ALERTE ET LUTTE CONTRE LES FLUX FINANCIERS ILLICITES,Dakar,CDI,2025-04-13,Gestion de projet,Protection - Finance - Gouvernance,CDI
"Senior Communications Officer, Africa Team",Dakar,CDI,2025-04-12,Communication / Médias,Communication - Stratégie,CDI
Senior Analyst – West Africa,Dakar,CDI,2025-04-12,Analyse / Statistiques,Analyse - Géopolitique,CDI
Regional Product Launch Manager,Dakar,CDI,2025-04-12,Non spécifié,Management - Marketing,CDI
"Chargé.e d’évaluation Senior pour le Sénégal, basé.e à Dakar",Dakar,CDI,,Non spécifié,Évaluation - Gestion de projet,CDI
"Responsable de Recherche (Associé.e) pour le Sénégal, basé.e à Dakar",Dakar,CDI,,Non spécifié,Recherche - Analyse,CDI
Evidence to Advocacy Specialist: Conflict and Crisis-Affected Settings,Dakar,CDI,2025-04-15,Plaidoyer / Droits humains,Plaidoyer - Gestion de crise,CDI
RDH DTM Reporting Intern,Dakar,CDI,2025-04-14,Humanitaire / Analyse de données,Reporting - Gestion de l'information,CDI
RDH Information Management Intern: Overview,Dakar,CDI,2025-04-14,Humanitaire / Analyse de données,Gestion de l'information - Analyse,CDI
Chargé.e. de projet « RISE & PLAY » Sénégal,Dakar,CDI,2025-04-13,Non spécifié,Gestion de projet - Développement,CDI
CHARGÉ.E DE PROJET – PROTECTION DES LANCEURS D’ALERTE ET LUTTE CONTRE LES FLUX FINANCIERS ILLICITES,Dakar,CDI,2025-04-13,Gestion de projet,Protection - Finance - Gouvernance,CDI
"Senior Communications Officer, Africa Team",Dakar,CDI,2025-04-12,Communication / Médias,Communication - Stratégie,CDI
Senior Analyst – West Africa,Dakar,CDI,2025-04-12,Analyse / Statistiques,Analyse - Géopolitique,CDI
Regional Product Launch Manager,Dakar,CDI,2025-04-12,Non spécifié,Management - Marketing,CDI
"Chargé.e d’évaluation Senior pour le Sénégal, basé.e à Dakar",Dakar,CDI,,Non spécifié,Évaluation - Gestion de projet,CDI
"Responsable de Recherche (Associé.e) pour le Sénégal, basé.e à Dakar",Dakar,CDI,,Non spécifié,Recherche - Analyse,CDI
Evidence to Advocacy Specialist: Conflict and Crisis-Affected Settings,Dakar,CDI,2025-04-14,Plaidoyer / Droits humains,Plaidoyer - Gestion de crise,CDI
RDH DTM Reporting Intern,Dakar,CDI,2025-04-13,Humanitaire / Analyse de données,Reporting - Gestion de l'information,CDI
RDH Information Management Intern: Overview,Dakar,CDI,2025-04-13,Humanitaire / Analyse de données,Gestion de l'information - Analyse,CDI
Chargé.e. de projet « RISE & PLAY » Sénégal,Dakar,CDI,2025-04-12,Non spécifié,Gestion de projet - Développement,CDI
CHARGÉ.E DE PROJET – PROTECTION DES LANCEURS D’ALERTE ET LUTTE CONTRE LES FLUX FINANCIERS ILLICITES,Dakar,CDI,2025-04-12,Gestion de projet,Protection - Finance - Gouvernance,CDI
"Senior Communications Officer, Africa Team",Dakar,CDI,2025-04-12,Communication / Médias,Communication - Stratégie,CDI
Senior Analyst – West Africa,Dakar,CDI,2025-04-11,Analyse / Statistiques,Analyse - Géopolitique,CDI
Regional Product Launch Manager,Dakar,CDI,2025-04-11,Non spécifié,Management - Marketing,CDI
"Chargé.e d’évaluation Senior pour le Sénégal, basé.e à Dakar",Dakar,CDI,,Non spécifié,Évaluation - Gestion de projet,CDI
"Responsable de Recherche (Associé.e) pour le Sénégal, basé.e à Dakar",Dakar,CDI,,Non spécifié,Recherche - Analyse,CDI
Evidence to Advocacy Specialist: Conflict and Crisis-Affected Settings,Dakar,CDI,2025-04-15,Plaidoyer / Droits humains,Plaidoyer - Gestion de crise,CDI
